"density","pressure","rhoadv_0","temp","theta","x_velocity","y_velocity","z_velocity","arc_length","Points:0","Points:1","Points:2"
1,81100,0,282.57,300,0.49485,0,-9.4127e-06,0,0.1,0.5,0
1,81100,0,282.57,300,0.67158,0,-2.9652e-05,0.015873,0.1,0.5,0.015873
1,81100,0,282.57,300,0.72648,0,-5.1051e-05,0.031746,0.1,0.5,0.031746
1,81100,0,282.57,300,0.76259,0,-7.2772e-05,0.047619,0.1,0.5,0.047619
1,81100,0,282.57,300,0.79059,0,-9.4347e-05,0.063492,0.1,0.5,0.063492
1,81100,0,282.57,300,0.81363,0,-0.00011588,0.079365,0.1,0.5,0.079365
1,81100,0,282.57,300,0.83323,0,-0.00013738,0.095238,0.1,0.5,0.095238
1,81100,0,282.57,300,0.85028,0,-0.00015849,0.11111,0.1,0.5,0.11111
1,81100,0,282.57,300,0.86542,0,-0.00017994,0.12698,0.1,0.5,0.12698
1,81100,0,282.57,300,0.87902,0,-0.00020047,0.14286,0.1,0.5,0.14286
1,81100,0,282.57,300,0.89138,0,-0.00022172,0.15873,0.1,0.5,0.15873
1,81100,0,282.57,300,0.9027,0,-0.00024171,0.1746,0.1,0.5,0.1746
1,81100,0,282.57,300,0.91317,0,-0.00026218,0.19048,0.1,0.5,0.19048
1,81100,0,282.57,300,0.92292,0,-0.00028207,0.20635,0.1,0.5,0.20635
1,81100,0,282.57,300,0.93205,0,-0.00030088,0.22222,0.1,0.5,0.22222
1,81100,0,282.57,300,0.94064,0,-0.00032129,0.2381,0.1,0.5,0.2381
1,81100,0,282.57,300,0.94876,0,-0.00033843,0.25397,0.1,0.5,0.25397
1,81100,0,282.57,300,0.95644,0,-0.00035855,0.26984,0.1,0.5,0.26984
1,81100,0,282.57,300,0.96376,0,-0.00037645,0.28571,0.1,0.5,0.28571
1,81100,0,282.57,300,0.97074,0,-0.00039319,0.30159,0.1,0.5,0.30159
1,81100,0,282.57,300,0.97742,0,-0.00041443,0.31746,0.1,0.5,0.31746
1,81100,0,282.57,300,0.98383,0,-0.00042833,0.33333,0.1,0.5,0.33333
1,81100,0,282.57,300,0.98999,0,-0.00044766,0.34921,0.1,0.5,0.34921
1,81100,0,282.57,300,0.99592,0,-0.00046814,0.36508,0.1,0.5,0.36508
1,81100,0,282.57,300,1.0016,0,-0.00047879,0.38095,0.1,0.5,0.38095
1,81100,0,282.57,300,1.0071,0,-0.00050284,0.39683,0.1,0.5,0.39683
1,81100,0,282.57,300,1.0125,0,-0.00052277,0.4127,0.1,0.5,0.4127
1,81100,0,282.57,300,1.0176,0,-0.00052966,0.42857,0.1,0.5,0.42857
1,81100,0,282.57,300,1.0227,0,-0.00055968,0.44444,0.1,0.5,0.44444
1,81100,0,282.57,300,1.0276,0,-0.00058407,0.46032,0.1,0.5,0.46032
1,81100,0,282.57,300,1.0324,0,-0.00058265,0.47619,0.1,0.5,0.47619
1,81100,0,282.57,300,1.037,0,-0.00061476,0.49206,0.1,0.5,0.49206
1,81100,0,282.57,300,1.0415,0,-0.0006608,0.50794,0.1,0.5,0.50794
1,81100,0,282.57,300,1.0459,0,-0.00065321,0.52381,0.1,0.5,0.52381
1,81100,0,282.57,300,1.0501,0,-0.00065657,0.53968,0.1,0.5,0.53968
1,81100,0,282.57,300,1.0543,0,-0.00073556,0.55556,0.1,0.5,0.55556
1,81100,0,282.57,300,1.0584,0,-0.00078741,0.57143,0.1,0.5,0.57143
1,81100,0,282.57,300,1.0623,0,-0.00074218,0.5873,0.1,0.5,0.5873
1,81100,0,282.57,300,1.0662,0,-0.00073105,0.60317,0.1,0.5,0.60317
1,81100,0,282.57,300,1.0699,0,-0.00086357,0.61905,0.1,0.5,0.61905
1,81100,0,282.57,300,1.0736,0,-0.001016,0.63492,0.1,0.5,0.63492
1,81100,0,282.57,300,1.0771,0,-0.0010058,0.65079,0.1,0.5,0.65079
1,81100,0,282.57,300,1.0804,0,-0.00086614,0.66667,0.1,0.5,0.66667
1,81100,0,282.57,300,1.0837,0,-0.00081885,0.68254,0.1,0.5,0.68254
1,81100,0,282.57,300,1.0869,0,-0.0010208,0.69841,0.1,0.5,0.69841
1,81100,0,282.57,300,1.0899,0,-0.0014147,0.71429,0.1,0.5,0.71429
1,81100,0,282.57,300,1.0928,0,-0.0018075,0.73016,0.1,0.5,0.73016
1,81099,0,282.57,300,1.0956,0,-0.002036,0.74603,0.1,0.5,0.74603
1,81099,0,282.57,300,1.0982,0,-0.0020538,0.7619,0.1,0.5,0.7619
1,81099,0,282.57,300,1.1007,0,-0.0019113,0.77778,0.1,0.5,0.77778
1,81099,0,282.57,300,1.103,0,-0.0016906,0.79365,0.1,0.5,0.79365
1,81100,0,282.57,300,1.1052,0,-0.0014574,0.80952,0.1,0.5,0.80952
1,81100,0,282.57,300,1.1073,0,-0.0012459,0.8254,0.1,0.5,0.8254
1,81100,0,282.57,300,1.1092,0,-0.0010656,0.84127,0.1,0.5,0.84127
1,81100,0,282.57,300,1.1109,0,-0.0009137,0.85714,0.1,0.5,0.85714
1,81100,0,282.57,300,1.1125,0,-0.00078335,0.87302,0.1,0.5,0.87302
1,81100,0,282.57,300,1.1139,0,-0.00066837,0.88889,0.1,0.5,0.88889
1,81100,0,282.57,300,1.1151,0,-0.00056412,0.90476,0.1,0.5,0.90476
1,81100,0,282.57,300,1.1162,0,-0.00046748,0.92063,0.1,0.5,0.92063
1,81100,0,282.57,300,1.1171,0,-0.00037631,0.93651,0.1,0.5,0.93651
1,81100,0,282.57,300,1.1179,0,-0.00028909,0.95238,0.1,0.5,0.95238
1,81100,0,282.57,300,1.1184,0,-0.00020465,0.96825,0.1,0.5,0.96825
1,81100,0,282.57,300,1.1188,0,-0.00012208,0.98413,0.1,0.5,0.98413
1,81100,0,282.57,300,1.119,0,-4.0578e-05,1,0.1,0.5,1
